disease,year,month,state,count
Influenza (laboratory confirmed),2022,5,NT,1675
Influenza (laboratory confirmed),2022,6,NT,2617
Influenza (laboratory confirmed),2022,7,NT,317
Influenza (laboratory confirmed),2022,8,NT,19
Influenza (laboratory confirmed),2022,9,NT,10
Influenza (laboratory confirmed),2022,10,NT,13
Influenza (laboratory confirmed),2022,11,NT,5
Influenza (laboratory confirmed),2022,12,NT,37
Influenza (laboratory confirmed),2023,1,NT,167
Influenza (laboratory confirmed),2023,2,NT,319
Influenza (laboratory confirmed),2023,3,NT,409
Influenza (laboratory confirmed),2023,4,NT,256
Influenza (laboratory confirmed),2023,5,NT,275
Influenza (laboratory confirmed),2023,6,NT,284
Influenza (laboratory confirmed),2023,7,NT,93
Influenza (laboratory confirmed),2023,8,NT,81
Influenza (laboratory confirmed),2023,9,NT,174
Influenza (laboratory confirmed),2023,10,NT,140
Influenza (laboratory confirmed),2023,11,NT,419
Influenza (laboratory confirmed),2023,12,NT,158
Influenza (laboratory confirmed),2024,1,NT,48
Influenza (laboratory confirmed),2024,2,NT,43
Influenza (laboratory confirmed),2024,3,NT,177
Influenza (laboratory confirmed),2024,4,NT,691
Influenza (laboratory confirmed),2024,5,NT,905
Influenza (laboratory confirmed),2024,6,NT,179
Influenza (laboratory confirmed),2024,7,NT,163
Influenza (laboratory confirmed),2024,8,NT,569
Influenza (laboratory confirmed),2024,9,NT,353
Influenza (laboratory confirmed),2024,10,NT,104
Influenza (laboratory confirmed),2024,11,NT,23
Influenza (laboratory confirmed),2024,12,NT,44
Influenza (laboratory confirmed),2025,1,NT,5
Influenza (laboratory confirmed),2008,1,QLD,45
Influenza (laboratory confirmed),2008,2,QLD,89
Influenza (laboratory confirmed),2008,3,QLD,65
Influenza (laboratory confirmed),2008,4,QLD,75
Influenza (laboratory confirmed),2008,5,QLD,109
Influenza (laboratory confirmed),2008,6,QLD,108
Influenza (laboratory confirmed),2008,7,QLD,161
Influenza (laboratory confirmed),2008,8,QLD,1349
Influenza (laboratory confirmed),2008,9,QLD,1259
Influenza (laboratory confirmed),2008,10,QLD,368
Influenza (laboratory confirmed),2008,11,QLD,29
Influenza (laboratory confirmed),2008,12,QLD,34
Influenza (laboratory confirmed),2009,1,QLD,40
Influenza (laboratory confirmed),2009,2,QLD,36
Influenza (laboratory confirmed),2009,3,QLD,24
Influenza (laboratory confirmed),2009,4,QLD,25
Influenza (laboratory confirmed),2009,5,QLD,291
Influenza (laboratory confirmed),2009,6,QLD,1831
Influenza (laboratory confirmed),2009,7,QLD,12292
Influenza (laboratory confirmed),2009,8,QLD,2998
Influenza (laboratory confirmed),2009,9,QLD,485
Influenza (laboratory confirmed),2009,10,QLD,153
Influenza (laboratory confirmed),2009,11,QLD,77
Influenza (laboratory confirmed),2009,12,QLD,55
Influenza (laboratory confirmed),2010,1,QLD,50
Influenza (laboratory confirmed),2010,2,QLD,53
Influenza (laboratory confirmed),2010,3,QLD,73
Influenza (laboratory confirmed),2010,4,QLD,101
Influenza (laboratory confirmed),2010,5,QLD,69
Influenza (laboratory confirmed),2010,6,QLD,82
Influenza (laboratory confirmed),2010,7,QLD,228
Influenza (laboratory confirmed),2010,8,QLD,437
Influenza (laboratory confirmed),2010,9,QLD,683
Influenza (laboratory confirmed),2010,10,QLD,544
Influenza (laboratory confirmed),2010,11,QLD,348
Influenza (laboratory confirmed),2010,12,QLD,553
Influenza (laboratory confirmed),2011,1,QLD,370
Influenza (laboratory confirmed),2011,2,QLD,364
Influenza (laboratory confirmed),2011,3,QLD,418
Influenza (laboratory confirmed),2011,4,QLD,384
Influenza (laboratory confirmed),2011,5,QLD,271
Influenza (laboratory confirmed),2011,6,QLD,772
Influenza (laboratory confirmed),2011,7,QLD,2566
Influenza (laboratory confirmed),2011,8,QLD,3245
Influenza (laboratory confirmed),2011,9,QLD,1353
Influenza (laboratory confirmed),2011,10,QLD,345
Influenza (laboratory confirmed),2011,11,QLD,156
Influenza (laboratory confirmed),2011,12,QLD,137
Influenza (laboratory confirmed),2012,1,QLD,88
Influenza (laboratory confirmed),2012,2,QLD,103
Influenza (laboratory confirmed),2012,3,QLD,200
Influenza (laboratory confirmed),2012,4,QLD,151
Influenza (laboratory confirmed),2012,5,QLD,248
Influenza (laboratory confirmed),2012,6,QLD,1261
Influenza (laboratory confirmed),2012,7,QLD,3847
Influenza (laboratory confirmed),2012,8,QLD,8124
Influenza (laboratory confirmed),2012,9,QLD,2006
Influenza (laboratory confirmed),2012,10,QLD,422
Influenza (laboratory confirmed),2012,11,QLD,270
Influenza (laboratory confirmed),2012,12,QLD,109
Influenza (laboratory confirmed),2013,1,QLD,206
Influenza (laboratory confirmed),2013,2,QLD,233
Influenza (laboratory confirmed),2013,3,QLD,359
Influenza (laboratory confirmed),2013,4,QLD,201
Influenza (laboratory confirmed),2013,5,QLD,250
Influenza (laboratory confirmed),2013,6,QLD,193
Influenza (laboratory confirmed),2013,7,QLD,364
Influenza (laboratory confirmed),2013,8,QLD,1137
Influenza (laboratory confirmed),2013,9,QLD,1014
Influenza (laboratory confirmed),2013,10,QLD,580
Influenza (laboratory confirmed),2013,11,QLD,573
Influenza (laboratory confirmed),2013,12,QLD,367
Influenza (laboratory confirmed),2014,1,QLD,478
Influenza (laboratory confirmed),2014,2,QLD,396
Influenza (laboratory confirmed),2014,3,QLD,439
Influenza (laboratory confirmed),2014,4,QLD,372
Influenza (laboratory confirmed),2014,5,QLD,527
Influenza (laboratory confirmed),2014,6,QLD,551
Influenza (laboratory confirmed),2014,7,QLD,1780
Influenza (laboratory confirmed),2014,8,QLD,7568
Influenza (laboratory confirmed),2014,9,QLD,3860
Influenza (laboratory confirmed),2014,10,QLD,1251
Influenza (laboratory confirmed),2014,11,QLD,297
Influenza (laboratory confirmed),2014,12,QLD,333
Influenza (laboratory confirmed),2015,1,QLD,534
Influenza (laboratory confirmed),2015,2,QLD,378
Influenza (laboratory confirmed),2015,3,QLD,471
Influenza (laboratory confirmed),2015,4,QLD,567
Influenza (laboratory confirmed),2015,5,QLD,846
Influenza (laboratory confirmed),2015,6,QLD,1041
Influenza (laboratory confirmed),2015,7,QLD,3711
Influenza (laboratory confirmed),2015,8,QLD,11013
Influenza (laboratory confirmed),2015,9,QLD,7350
Influenza (laboratory confirmed),2015,10,QLD,1572
Influenza (laboratory confirmed),2015,11,QLD,365
Influenza (laboratory confirmed),2015,12,QLD,243
Influenza (laboratory confirmed),2016,1,QLD,410
Influenza (laboratory confirmed),2016,2,QLD,682
Influenza (laboratory confirmed),2016,3,QLD,1057
Influenza (laboratory confirmed),2016,4,QLD,948
Influenza (laboratory confirmed),2016,5,QLD,608
Influenza (laboratory confirmed),2016,6,QLD,614
Influenza (laboratory confirmed),2016,7,QLD,2104
Influenza (laboratory confirmed),2016,8,QLD,6027
Influenza (laboratory confirmed),2016,9,QLD,6824
Influenza (laboratory confirmed),2016,10,QLD,2124
Influenza (laboratory confirmed),2016,11,QLD,971
Influenza (laboratory confirmed),2016,12,QLD,954
Influenza (laboratory confirmed),2017,1,QLD,870
Influenza (laboratory confirmed),2017,2,QLD,948
Influenza (laboratory confirmed),2017,3,QLD,1159
Influenza (laboratory confirmed),2017,4,QLD,621
Influenza (laboratory confirmed),2017,5,QLD,721
Influenza (laboratory confirmed),2017,6,QLD,1938
Influenza (laboratory confirmed),2017,7,QLD,4814
Influenza (laboratory confirmed),2017,8,QLD,19609
Influenza (laboratory confirmed),2017,9,QLD,20605
Influenza (laboratory confirmed),2017,10,QLD,3280
Influenza (laboratory confirmed),2017,11,QLD,1107
Influenza (laboratory confirmed),2017,12,QLD,920
Influenza (laboratory confirmed),2018,1,QLD,938
Influenza (laboratory confirmed),2018,2,QLD,1059
Influenza (laboratory confirmed),2018,3,QLD,1342
Influenza (laboratory confirmed),2018,4,QLD,712
Influenza (laboratory confirmed),2018,5,QLD,501
Influenza (laboratory confirmed),2018,6,QLD,631
Influenza (laboratory confirmed),2018,7,QLD,865
Influenza (laboratory confirmed),2018,8,QLD,2186
Influenza (laboratory confirmed),2018,9,QLD,2424
Influenza (laboratory confirmed),2018,10,QLD,1480
Influenza (laboratory confirmed),2018,11,QLD,1560
Influenza (laboratory confirmed),2018,12,QLD,1841
Influenza (laboratory confirmed),2019,1,QLD,1854
Influenza (laboratory confirmed),2019,2,QLD,1983
Influenza (laboratory confirmed),2019,3,QLD,2931
Influenza (laboratory confirmed),2019,4,QLD,2794
Influenza (laboratory confirmed),2019,5,QLD,3626
Influenza (laboratory confirmed),2019,6,QLD,8084
Influenza (laboratory confirmed),2019,7,QLD,11521
Influenza (laboratory confirmed),2019,8,QLD,21984
Influenza (laboratory confirmed),2019,9,QLD,10194
Influenza (laboratory confirmed),2019,10,QLD,1934
Influenza (laboratory confirmed),2019,11,QLD,800
Influenza (laboratory confirmed),2019,12,QLD,556
Influenza (laboratory confirmed),2020,1,QLD,1653
Influenza (laboratory confirmed),2020,2,QLD,1917
Influenza (laboratory confirmed),2020,3,QLD,2185
Influenza (laboratory confirmed),2020,4,QLD,88
Influenza (laboratory confirmed),2020,5,QLD,81
Influenza (laboratory confirmed),2020,6,QLD,45
Influenza (laboratory confirmed),2020,7,QLD,61
Influenza (laboratory confirmed),2020,8,QLD,44
Influenza (laboratory confirmed),2020,9,QLD,34
Influenza (laboratory confirmed),2020,10,QLD,15
Influenza (laboratory confirmed),2020,11,QLD,19
Influenza (laboratory confirmed),2020,12,QLD,13
Influenza (laboratory confirmed),2021,1,QLD,25
Influenza (laboratory confirmed),2021,2,QLD,22
Influenza (laboratory confirmed),2021,3,QLD,24
Influenza (laboratory confirmed),2021,4,QLD,36
Influenza (laboratory confirmed),2021,5,QLD,29
Influenza (laboratory confirmed),2021,6,QLD,29
Influenza (laboratory confirmed),2021,7,QLD,35
Influenza (laboratory confirmed),2021,8,QLD,13
Influenza (laboratory confirmed),2021,9,QLD,32
Influenza (laboratory confirmed),2021,10,QLD,18
Influenza (laboratory confirmed),2021,11,QLD,19
Influenza (laboratory confirmed),2021,12,QLD,18
Influenza (laboratory confirmed),2022,1,QLD,3
Influenza (laboratory confirmed),2022,3,QLD,14
Influenza (laboratory confirmed),2022,4,QLD,730
Influenza (laboratory confirmed),2022,5,QLD,11406
Influenza (laboratory confirmed),2022,6,QLD,19526
Influenza (laboratory confirmed),2022,7,QLD,8898
Influenza (laboratory confirmed),2022,8,QLD,1395
Influenza (laboratory confirmed),2022,9,QLD,629
Influenza (laboratory confirmed),2022,10,QLD,234
Influenza (laboratory confirmed),2022,11,QLD,432
Influenza (laboratory confirmed),2022,12,QLD,1144
Influenza (laboratory confirmed),2023,1,QLD,833
Influenza (laboratory confirmed),2023,2,QLD,1013
Influenza (laboratory confirmed),2023,3,QLD,3382
Influenza (laboratory confirmed),2023,4,QLD,3878
Influenza (laboratory confirmed),2023,5,QLD,8650
Influenza (laboratory confirmed),2023,6,QLD,25393
Influenza (laboratory confirmed),2023,7,QLD,13866
Influenza (laboratory confirmed),2023,8,QLD,6832
Influenza (laboratory confirmed),2023,9,QLD,3299
Influenza (laboratory confirmed),2023,10,QLD,1527
Influenza (laboratory confirmed),2023,11,QLD,1452
Influenza (laboratory confirmed),2023,12,QLD,4182
Influenza (laboratory confirmed),2024,1,QLD,1820
Influenza (laboratory confirmed),2024,2,QLD,2137
Influenza (laboratory confirmed),2024,3,QLD,4132
Influenza (laboratory confirmed),2024,4,QLD,3409
Influenza (laboratory confirmed),2024,5,QLD,4117
Influenza (laboratory confirmed),2024,6,QLD,8952
Influenza (laboratory confirmed),2024,7,QLD,16776
Influenza (laboratory confirmed),2024,8,QLD,29572
Influenza (laboratory confirmed),2024,9,QLD,5215
Influenza (laboratory confirmed),2024,10,QLD,1222
Influenza (laboratory confirmed),2024,11,QLD,1092
Influenza (laboratory confirmed),2024,12,QLD,1202
Influenza (laboratory confirmed),2025,1,QLD,216
Influenza (laboratory confirmed),2008,4,SA,1
Influenza (laboratory confirmed),2008,5,SA,6
Influenza (laboratory confirmed),2008,6,SA,8
Influenza (laboratory confirmed),2008,7,SA,9
Influenza (laboratory confirmed),2008,8,SA,48
Influenza (laboratory confirmed),2008,9,SA,161
Influenza (laboratory confirmed),2008,10,SA,163
Influenza (laboratory confirmed),2008,11,SA,65
Influenza (laboratory confirmed),2008,12,SA,12
Influenza (laboratory confirmed),2009,1,SA,3
Influenza (laboratory confirmed),2009,2,SA,3
Influenza (laboratory confirmed),2009,3,SA,11
Influenza (laboratory confirmed),2009,4,SA,16
Influenza (laboratory confirmed),2009,5,SA,234
Influenza (laboratory confirmed),2009,6,SA,898
Influenza (laboratory confirmed),2009,7,SA,4549
Influenza (laboratory confirmed),2009,8,SA,4061
Influenza (laboratory confirmed),2009,9,SA,762
Influenza (laboratory confirmed),2009,10,SA,147
Influenza (laboratory confirmed),2009,11,SA,62
Influenza (laboratory confirmed),2009,12,SA,18
Influenza (laboratory confirmed),2010,1,SA,19
Influenza (laboratory confirmed),2010,2,SA,13
Influenza (laboratory confirmed),2010,3,SA,8
Influenza (laboratory confirmed),2010,4,SA,15
Influenza (laboratory confirmed),2010,5,SA,12
Influenza (laboratory confirmed),2010,6,SA,22
Influenza (laboratory confirmed),2010,7,SA,114
Influenza (laboratory confirmed),2010,8,SA,461
Influenza (laboratory confirmed),2010,9,SA,2105
Influenza (laboratory confirmed),2010,10,SA,1250
Influenza (laboratory confirmed),2010,11,SA,197
Influenza (laboratory confirmed),2010,12,SA,45
Influenza (laboratory confirmed),2011,1,SA,85
Influenza (laboratory confirmed),2011,2,SA,51
Influenza (laboratory confirmed),2011,3,SA,51
Influenza (laboratory confirmed),2011,4,SA,85
Influenza (laboratory confirmed),2011,5,SA,157
Influenza (laboratory confirmed),2011,6,SA,529
Influenza (laboratory confirmed),2011,7,SA,1073
Influenza (laboratory confirmed),2011,8,SA,1072
Influenza (laboratory confirmed),2011,9,SA,1130
Influenza (laboratory confirmed),2011,10,SA,354
Influenza (laboratory confirmed),2011,11,SA,110
Influenza (laboratory confirmed),2011,12,SA,44
Influenza (laboratory confirmed),2012,1,SA,27
Influenza (laboratory confirmed),2012,2,SA,34
Influenza (laboratory confirmed),2012,3,SA,79
Influenza (laboratory confirmed),2012,4,SA,69
Influenza (laboratory confirmed),2012,5,SA,100
Influenza (laboratory confirmed),2012,6,SA,1182
Influenza (laboratory confirmed),2012,7,SA,1985
Influenza (laboratory confirmed),2012,8,SA,1493
Influenza (laboratory confirmed),2012,9,SA,442
Influenza (laboratory confirmed),2012,10,SA,215
Influenza (laboratory confirmed),2012,11,SA,400
Influenza (laboratory confirmed),2012,12,SA,247
Influenza (laboratory confirmed),2013,1,SA,132
Influenza (laboratory confirmed),2013,2,SA,79
Influenza (laboratory confirmed),2013,3,SA,128
Influenza (laboratory confirmed),2013,4,SA,88
Influenza (laboratory confirmed),2013,5,SA,148
Influenza (laboratory confirmed),2013,6,SA,173
Influenza (laboratory confirmed),2013,7,SA,347
Influenza (laboratory confirmed),2013,8,SA,1032
Influenza (laboratory confirmed),2013,9,SA,941
Influenza (laboratory confirmed),2013,10,SA,606
Influenza (laboratory confirmed),2013,11,SA,745
Influenza (laboratory confirmed),2013,12,SA,398
Influenza (laboratory confirmed),2014,1,SA,222
Influenza (laboratory confirmed),2014,2,SA,115
Influenza (laboratory confirmed),2014,3,SA,159
Influenza (laboratory confirmed),2014,4,SA,131
Influenza (laboratory confirmed),2014,5,SA,134
Influenza (laboratory confirmed),2014,6,SA,239
Influenza (laboratory confirmed),2014,7,SA,636
Influenza (laboratory confirmed),2014,8,SA,3896
Influenza (laboratory confirmed),2014,9,SA,3900
Influenza (laboratory confirmed),2014,10,SA,1172
Influenza (laboratory confirmed),2014,11,SA,341
Influenza (laboratory confirmed),2014,12,SA,107
Influenza (laboratory confirmed),2015,1,SA,135
Influenza (laboratory confirmed),2015,2,SA,210
Influenza (laboratory confirmed),2015,3,SA,364
Influenza (laboratory confirmed),2015,4,SA,488
Influenza (laboratory confirmed),2015,5,SA,542
Influenza (laboratory confirmed),2015,6,SA,860
Influenza (laboratory confirmed),2015,7,SA,2585
Influenza (laboratory confirmed),2015,8,SA,5022
Influenza (laboratory confirmed),2015,9,SA,4007
Influenza (laboratory confirmed),2015,10,SA,1249
Influenza (laboratory confirmed),2015,11,SA,134
Influenza (laboratory confirmed),2015,12,SA,64
Influenza (laboratory confirmed),2016,1,SA,111
Influenza (laboratory confirmed),2016,2,SA,129
Influenza (laboratory confirmed),2016,3,SA,174
Influenza (laboratory confirmed),2016,4,SA,305
Influenza (laboratory confirmed),2016,5,SA,121
Influenza (laboratory confirmed),2016,6,SA,92
Influenza (laboratory confirmed),2016,7,SA,390
Influenza (laboratory confirmed),2016,8,SA,1086
Influenza (laboratory confirmed),2016,9,SA,2398
Influenza (laboratory confirmed),2016,10,SA,1414
Influenza (laboratory confirmed),2016,11,SA,1088
Influenza (laboratory confirmed),2016,12,SA,569
Influenza (laboratory confirmed),2017,1,SA,280
Influenza (laboratory confirmed),2017,2,SA,327
Influenza (laboratory confirmed),2017,3,SA,329
Influenza (laboratory confirmed),2017,4,SA,246
Influenza (laboratory confirmed),2017,5,SA,429
Influenza (laboratory confirmed),2017,6,SA,1268
Influenza (laboratory confirmed),2017,7,SA,2860
Influenza (laboratory confirmed),2017,8,SA,5754
Influenza (laboratory confirmed),2017,9,SA,12603
Influenza (laboratory confirmed),2017,10,SA,3226
Influenza (laboratory confirmed),2017,11,SA,790
Influenza (laboratory confirmed),2017,12,SA,373
Influenza (laboratory confirmed),2018,1,SA,327
Influenza (laboratory confirmed),2018,2,SA,338
Influenza (laboratory confirmed),2018,3,SA,389
Influenza (laboratory confirmed),2018,4,SA,189
Influenza (laboratory confirmed),2018,5,SA,111
Influenza (laboratory confirmed),2018,6,SA,119
Influenza (laboratory confirmed),2018,7,SA,161
Influenza (laboratory confirmed),2018,8,SA,349
Influenza (laboratory confirmed),2018,9,SA,1051
Influenza (laboratory confirmed),2018,10,SA,1070
Influenza (laboratory confirmed),2018,11,SA,1192
Influenza (laboratory confirmed),2018,12,SA,584
Influenza (laboratory confirmed),2019,1,SA,405
Influenza (laboratory confirmed),2019,2,SA,754
Influenza (laboratory confirmed),2019,3,SA,2621
Influenza (laboratory confirmed),2019,4,SA,5998
Influenza (laboratory confirmed),2019,5,SA,8248
Influenza (laboratory confirmed),2019,6,SA,2370
Influenza (laboratory confirmed),2019,7,SA,1675
Influenza (laboratory confirmed),2019,8,SA,1606
Influenza (laboratory confirmed),2019,9,SA,1466
Influenza (laboratory confirmed),2019,10,SA,819
Influenza (laboratory confirmed),2019,11,SA,688
Influenza (laboratory confirmed),2019,12,SA,434
Influenza (laboratory confirmed),2020,1,SA,453
Influenza (laboratory confirmed),2020,2,SA,520
Influenza (laboratory confirmed),2020,3,SA,470
Influenza (laboratory confirmed),2020,4,SA,34
Influenza (laboratory confirmed),2020,5,SA,44
Influenza (laboratory confirmed),2020,6,SA,16
Influenza (laboratory confirmed),2020,7,SA,19
Influenza (laboratory confirmed),2020,8,SA,3
Influenza (laboratory confirmed),2020,10,SA,3
Influenza (laboratory confirmed),2020,11,SA,3
Influenza (laboratory confirmed),2020,12,SA,3
Influenza (laboratory confirmed),2021,1,SA,3
Influenza (laboratory confirmed),2021,2,SA,1
Influenza (laboratory confirmed),2021,3,SA,5
Influenza (laboratory confirmed),2021,4,SA,2
Influenza (laboratory confirmed),2021,5,SA,4
Influenza (laboratory confirmed),2021,7,SA,1
Influenza (laboratory confirmed),2021,8,SA,2
Influenza (laboratory confirmed),2021,9,SA,6
Influenza (laboratory confirmed),2021,10,SA,4
Influenza (laboratory confirmed),2021,11,SA,8
Influenza (laboratory confirmed),2021,12,SA,3
Influenza (laboratory confirmed),2022,1,SA,3
Influenza (laboratory confirmed),2022,2,SA,1
Influenza (laboratory confirmed),2022,3,SA,3
Influenza (laboratory confirmed),2022,4,SA,231
Influenza (laboratory confirmed),2022,5,SA,1635
Influenza (laboratory confirmed),2022,6,SA,4370
Influenza (laboratory confirmed),2022,7,SA,4136
Influenza (laboratory confirmed),2022,8,SA,682
Influenza (laboratory confirmed),2022,9,SA,375
Influenza (laboratory confirmed),2022,10,SA,181
Influenza (laboratory confirmed),2022,11,SA,139
Influenza (laboratory confirmed),2022,12,SA,329
Influenza (laboratory confirmed),2023,1,SA,198
Influenza (laboratory confirmed),2023,2,SA,230
Influenza (laboratory confirmed),2023,3,SA,643
Influenza (laboratory confirmed),2023,4,SA,1049
Influenza (laboratory confirmed),2023,5,SA,1782
Influenza (laboratory confirmed),2023,6,SA,4073
Influenza (laboratory confirmed),2023,7,SA,3147
Influenza (laboratory confirmed),2023,8,SA,2395
Influenza (laboratory confirmed),2023,9,SA,3284
Influenza (laboratory confirmed),2023,10,SA,1999
Influenza (laboratory confirmed),2023,11,SA,2008
Influenza (laboratory confirmed),2023,12,SA,1537
Influenza (laboratory confirmed),2024,1,SA,556
Influenza (laboratory confirmed),2024,2,SA,402
Influenza (laboratory confirmed),2024,3,SA,808
Influenza (laboratory confirmed),2024,4,SA,579
Influenza (laboratory confirmed),2024,5,SA,1438
Influenza (laboratory confirmed),2024,6,SA,2563
Influenza (laboratory confirmed),2024,7,SA,5502
Influenza (laboratory confirmed),2024,8,SA,6527
Influenza (laboratory confirmed),2024,9,SA,2197
Influenza (laboratory confirmed),2024,10,SA,890
Influenza (laboratory confirmed),2024,11,SA,821
Influenza (laboratory confirmed),2024,12,SA,453
Influenza (laboratory confirmed),2025,1,SA,54
Influenza (laboratory confirmed),2008,1,TAS,2
Influenza (laboratory confirmed),2008,2,TAS,1
Influenza (laboratory confirmed),2008,3,TAS,3
Influenza (laboratory confirmed),2008,4,TAS,2
Influenza (laboratory confirmed),2008,5,TAS,6
Influenza (laboratory confirmed),2008,6,TAS,10
Influenza (laboratory confirmed),2008,7,TAS,5
Influenza (laboratory confirmed),2008,8,TAS,49
Influenza (laboratory confirmed),2008,9,TAS,226
Influenza (laboratory confirmed),2008,10,TAS,61
Influenza (laboratory confirmed),2008,11,TAS,19
Influenza (laboratory confirmed),2008,12,TAS,1
Influenza (laboratory confirmed),2009,3,TAS,2
Influenza (laboratory confirmed),2009,4,TAS,3
Influenza (laboratory confirmed),2009,5,TAS,15
Influenza (laboratory confirmed),2009,6,TAS,174
Influenza (laboratory confirmed),2009,7,TAS,939
Influenza (laboratory confirmed),2009,8,TAS,161
Influenza (laboratory confirmed),2009,9,TAS,5
Influenza (laboratory confirmed),2009,10,TAS,6
Influenza (laboratory confirmed),2009,11,TAS,4
Influenza (laboratory confirmed),2009,12,TAS,2
Influenza (laboratory confirmed),2010,1,TAS,2
Influenza (laboratory confirmed),2010,2,TAS,2
Influenza (laboratory confirmed),2010,3,TAS,6
Influenza (laboratory confirmed),2010,4,TAS,10
Influenza (laboratory confirmed),2010,5,TAS,4
Influenza (laboratory confirmed),2010,6,TAS,1
Influenza (laboratory confirmed),2010,7,TAS,1
Influenza (laboratory confirmed),2010,8,TAS,11
Influenza (laboratory confirmed),2010,9,TAS,36
Influenza (laboratory confirmed),2010,10,TAS,21
Influenza (laboratory confirmed),2010,11,TAS,7
Influenza (laboratory confirmed),2010,12,TAS,6
Influenza (laboratory confirmed),2011,1,TAS,5
Influenza (laboratory confirmed),2011,2,TAS,3
Influenza (laboratory confirmed),2011,3,TAS,2
Influenza (laboratory confirmed),2011,4,TAS,22
Influenza (laboratory confirmed),2011,5,TAS,28
Influenza (laboratory confirmed),2011,6,TAS,21
Influenza (laboratory confirmed),2011,7,TAS,76
Influenza (laboratory confirmed),2011,8,TAS,108
Influenza (laboratory confirmed),2011,9,TAS,68
Influenza (laboratory confirmed),2011,10,TAS,14
Influenza (laboratory confirmed),2011,11,TAS,9
Influenza (laboratory confirmed),2011,12,TAS,7
Influenza (laboratory confirmed),2012,1,TAS,1
Influenza (laboratory confirmed),2012,2,TAS,4
Influenza (laboratory confirmed),2012,3,TAS,5
Influenza (laboratory confirmed),2012,4,TAS,5
Influenza (laboratory confirmed),2012,5,TAS,4
Influenza (laboratory confirmed),2012,6,TAS,48
Influenza (laboratory confirmed),2012,7,TAS,563
Influenza (laboratory confirmed),2012,8,TAS,399
Influenza (laboratory confirmed),2012,9,TAS,31
Influenza (laboratory confirmed),2012,10,TAS,15
Influenza (laboratory confirmed),2012,11,TAS,16
Influenza (laboratory confirmed),2012,12,TAS,4
Influenza (laboratory confirmed),2013,1,TAS,2
Influenza (laboratory confirmed),2013,2,TAS,4
Influenza (laboratory confirmed),2013,3,TAS,2
Influenza (laboratory confirmed),2013,4,TAS,5
Influenza (laboratory confirmed),2013,5,TAS,2
Influenza (laboratory confirmed),2013,6,TAS,5
Influenza (laboratory confirmed),2013,7,TAS,14
Influenza (laboratory confirmed),2013,8,TAS,66
Influenza (laboratory confirmed),2013,9,TAS,74
Influenza (laboratory confirmed),2013,10,TAS,63
Influenza (laboratory confirmed),2013,11,TAS,41
Influenza (laboratory confirmed),2013,12,TAS,16
Influenza (laboratory confirmed),2014,1,TAS,23
Influenza (laboratory confirmed),2014,2,TAS,16
Influenza (laboratory confirmed),2014,3,TAS,12
Influenza (laboratory confirmed),2014,4,TAS,17
Influenza (laboratory confirmed),2014,5,TAS,21
Influenza (laboratory confirmed),2014,6,TAS,40
Influenza (laboratory confirmed),2014,7,TAS,66
Influenza (laboratory confirmed),2014,8,TAS,251
Influenza (laboratory confirmed),2014,9,TAS,165
Influenza (laboratory confirmed),2014,10,TAS,43
Influenza (laboratory confirmed),2014,11,TAS,8
Influenza (laboratory confirmed),2014,12,TAS,16
Influenza (laboratory confirmed),2015,1,TAS,6
Influenza (laboratory confirmed),2015,2,TAS,7
Influenza (laboratory confirmed),2015,3,TAS,18
Influenza (laboratory confirmed),2015,4,TAS,33
Influenza (laboratory confirmed),2015,5,TAS,37
Influenza (laboratory confirmed),2015,6,TAS,62
Influenza (laboratory confirmed),2015,7,TAS,154
Influenza (laboratory confirmed),2015,8,TAS,476
Influenza (laboratory confirmed),2015,9,TAS,498
Influenza (laboratory confirmed),2015,10,TAS,115
Influenza (laboratory confirmed),2015,11,TAS,16
Influenza (laboratory confirmed),2015,12,TAS,13
Influenza (laboratory confirmed),2016,1,TAS,10
Influenza (laboratory confirmed),2016,2,TAS,16
Influenza (laboratory confirmed),2016,3,TAS,21
Influenza (laboratory confirmed),2016,4,TAS,29
Influenza (laboratory confirmed),2016,5,TAS,16
Influenza (laboratory confirmed),2016,6,TAS,30
Influenza (laboratory confirmed),2016,7,TAS,40
Influenza (laboratory confirmed),2016,8,TAS,245
Influenza (laboratory confirmed),2016,9,TAS,456
Influenza (laboratory confirmed),2016,10,TAS,106
Influenza (laboratory confirmed),2016,11,TAS,57
Influenza (laboratory confirmed),2016,12,TAS,30
Influenza (laboratory confirmed),2017,1,TAS,36
Influenza (laboratory confirmed),2017,2,TAS,27
Influenza (laboratory confirmed),2017,3,TAS,46
Influenza (laboratory confirmed),2017,4,TAS,30
Influenza (laboratory confirmed),2017,5,TAS,31
Influenza (laboratory confirmed),2017,6,TAS,69
Influenza (laboratory confirmed),2017,7,TAS,295
Influenza (laboratory confirmed),2017,8,TAS,1008
Influenza (laboratory confirmed),2017,9,TAS,1647
Influenza (laboratory confirmed),2017,10,TAS,229
Influenza (laboratory confirmed),2017,11,TAS,58
Influenza (laboratory confirmed),2017,12,TAS,32
Influenza (laboratory confirmed),2018,1,TAS,15
Influenza (laboratory confirmed),2018,2,TAS,23
Influenza (laboratory confirmed),2018,3,TAS,31
Influenza (laboratory confirmed),2018,4,TAS,20
Influenza (laboratory confirmed),2018,5,TAS,10
Influenza (laboratory confirmed),2018,6,TAS,28
Influenza (laboratory confirmed),2018,7,TAS,21
Influenza (laboratory confirmed),2018,8,TAS,33
